name,league,team_clean,position,Role_Label,Minutes Played,Goals,Goals_p90,Duels won %,Shots,Shots_p90,Assists,Assists_p90,Dribbles successful %,Dribbles successful %,Dribbles successful %_p90,Key Passes,Passes total p90,passes_accuracy_perc,passes_accuracy_perc,PC1,PC2,PC3,PC4,PC5,PC6,PC7
d. ndoye,serie a,bologna,Attacker,Off-Ball Disruptor,1776.0,1.0,0.0506756756756756,48.48,27.0,1.3682432432432434,1.0,0.0506756756756756,44.16,44.16,44.16,1.114864864864865,27.66891891891892,77.6,77.6,-0.0294968554942271,-1.5825258258165322,0.416786746888873,1.3244122226135406,-0.7981219861506993,0.1048300405125593,-0.1932030729644336
f. chiesa,serie a,juventus,Attacker,Pure Finisher,2206.0,9.0,0.3671804170444243,44.39,51.0,2.0806890299184047,2.0,0.0815956482320942,42.17,42.17,42.17,2.203082502266546,23.17316409791478,69.9,69.9,0.3071513916180631,0.298566113130346,-0.011833411492166,-0.6219800253520703,-0.5377450460562995,-1.0980355267358597,-0.0902189257757826
j. zirkzee,serie a,bologna,Attacker,Off-Ball Disruptor,2772.0,11.0,0.3571428571428571,39.66,57.0,1.8506493506493509,4.0,0.1298701298701298,41.94,41.94,41.94,1.396103896103896,29.22077922077922,77.4,77.4,0.2663467554091515,0.2486272527876236,1.2451037888726983,0.1713415737103652,0.063136499522267,-0.1044764887238517,-0.0014263122692271
k. gameiro,ligue 1,strasbourg,Attacker,Off-Ball Disruptor,1345.0,4.0,0.2676579925650557,35.06,22.0,1.4721189591078068,2.0,0.1338289962825278,58.33,58.33,58.33,1.6059479553903346,30.17843866171004,80.9,80.9,0.8701576750066914,-0.6119098836807763,1.306035907012448,0.5666207777300114,1.7477316205556337,-0.6260792239547313,-0.0992671888782078
s. benrahma,ligue 1,lyon,Attacker,Creative Technician,778.0,3.0,0.3470437017994858,39.58,18.0,2.082262210796915,3.0,0.3470437017994858,52.94,52.94,52.94,2.660668380462725,32.15938303341902,68.2,68.2,2.438778020164623,0.1498438858537816,0.0370535426330368,-2.1908203469815186,0.7002247084898496,-0.6267885615910823,-0.451471564972484
w. ben yedder,ligue 1,monaco,Attacker,Pure Finisher,2323.0,16.0,0.6198880757640981,33.14,52.0,2.014636246233319,2.0,0.0774860094705122,38.64,38.64,38.64,1.4722341799397332,28.592337494619027,73.8,73.8,-0.4497272570494803,1.4757868026445875,1.6983614670540654,-0.508385853924484,0.452453422199207,-0.8567544871523344,0.6815427799771461
m. simon,ligue 1,nantes,Attacker,Off-Ball Disruptor,1794.0,3.0,0.1505016722408027,45.37,27.0,1.354515050167224,5.0,0.2508361204013378,55.29,55.29,55.29,1.4548494983277591,19.11371237458194,62.6,62.6,0.0239613363658796,-1.2946829112240636,-1.6765707109368362,-1.1454764716556014,0.5783599678167581,0.3288676344237866,-0.1527272611877357
w. khazri,ligue 1,montpellier,Attacker,Disruptive Presser,1132.0,1.0,0.0795053003533568,44.03,34.0,2.703180212014134,0.0,0.0,37.84,37.84,37.84,0.8745583038869258,23.77208480565371,71.4,71.4,-1.224286954756783,0.2019861214331216,0.0937833764842867,0.8567439312355618,-1.3141107921042026,-0.6401386109943872,-1.543102103400939
a. lacazette,ligue 1,lyon,Attacker,Pure Finisher,2306.0,19.0,0.7415437987857763,40.0,57.0,2.2246313963573288,2.0,0.0780572419774501,56.41,56.41,56.41,0.8196010407632263,21.19254119687771,70.8,70.8,-0.642855167951307,1.9893347452309649,-0.625452387772854,0.5995092562583355,1.144700514213103,-0.4769684170534445,1.0510493860650882
g. kyei,ligue 1,clermont foot,Attacker,Disruptive Presser,1017.0,2.0,0.1769911504424778,35.95,23.0,2.035398230088496,1.0,0.0884955752212389,32.26,32.26,32.26,1.0619469026548671,23.00884955752212,74.7,74.7,-1.3063764608308406,0.0655087991871114,1.4654424107680528,-0.1460825884662875,-0.259341785679709,0.0252316758429189,-0.985958843292467
