name,team_clean,league,position,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,goals_p90,shots_total_p90,assists_p90,passes_key_p90,passes_total_p90,passes_accuracy_perc,dribbles_success_perc,duels_win_perc,Cluster,Role_Label
C. Ekuban,genoa,Serie A,Attacker,1120.0,-0.7511640780973845,-0.0187805759745212,-1.5658230726966382,0.0283545731173656,-0.5384674808143691,-0.2405827449693235,0.0874696082586213,-0.6748590457566308,-0.0040556031999431,0.1722823453185854,-0.5872555304441528,-0.0323721528977672,-1.1412304698378264,-1.0271692595194026,0.1460889727186922,1.036184673916518,3,Disruptive Presser
C. Immobile,lazio,Serie A,Attacker,1659.0,-1.266201717960431,0.8627209903692307,1.078855285879364,0.1521151232867661,-1.007637760263349,0.0433213224162009,-0.1350103472236029,-0.0183000518893609,0.2958606435600077,0.5811441935891961,-0.834362090031365,-0.6655423992644838,-0.058622190109326,0.1926536238367793,-1.665507191360488,-0.4376759691352225,3,Disruptive Presser
R. Orsolini,bologna,Serie A,Attacker,1791.0,0.9437772344053824,1.294957618037523,-0.5723603695257033,-0.2691242497046759,-1.4223435553900683,-1.1221616658317806,0.2170392175490569,0.0605450755463974,0.927214076418399,1.4166742687820684,-0.3965810155511163,0.8792733297019375,0.9298196209170416,-0.7801165236497969,-0.2464235294984627,0.9847709305542484,1,Pure Finisher
D. Ndoye,bologna,Serie A,Attacker,1776.0,-0.0294968554942271,-1.5825258258165322,0.416786746888873,1.3244122226135406,-0.7981219861506993,0.1048300405125593,-0.1932030729644336,-0.1453297055429751,-1.3964700322963477,-0.7767104642150752,-0.8681885407997091,-0.3299928183188306,0.4163674601222817,0.8566078514863471,-0.1961014138295966,0.8819434438297081,0,Off-Ball Disruptor
J. Zirkzee,bologna,Serie A,Attacker,2772.0,0.2663467554091515,0.2486272527876236,1.2451037888726983,0.1713415737103652,0.063136499522267,-0.1044764887238517,-0.0014263122692271,0.0821691271886951,0.179614036288709,0.0403105944978367,-0.118618572297449,0.1599271779187188,0.6354138133721152,0.825726259502648,-0.4275831459063812,-0.6261930281302115,0,Off-Ball Disruptor
C. Ikwuemesi,salernitana,Serie A,Attacker,1056.0,-2.3957530737292805,-1.215643282871614,-0.3008564386128176,-0.383121520861755,1.4046570130179177,-0.082846306202971,-0.5418870318756958,0.3479625423571016,-1.2187798098180749,-0.9288569505920368,-0.5411600919379194,-1.0843626097173664,-1.5162196191862587,-0.9499652795601506,0.3876351279292501,-1.6373299809215214,3,Disruptive Presser
S. Nwankwo,salernitana,Serie A,Attacker,681.0,-2.2294222327558204,-0.1226624689190956,-0.9278123563470774,0.0034750296488981,0.5415574122443431,-0.697767139158127,0.8547601833980862,0.3434287375637728,0.3818933749325992,-0.6319023433281136,-1.3478302657969994,-1.1209886807591174,-1.0454106935415102,-1.4903931392749166,0.3876351279292501,-0.6261930281302115,3,Disruptive Presser
G. Lapadula,cagliari,Serie A,Attacker,1205.0,-1.1069862866542133,-0.0799158052312958,-0.8244294581690349,0.0650594858971894,1.4858278515677543,-0.7614543429464496,-0.9213624687320724,-0.749931776006772,-0.5047649523453563,0.3213666156959658,-0.6409060304482952,0.1999641145031615,-1.7707143868870312,-0.2860110519105828,1.1022091704271486,-0.9346754883038324,0,Off-Ball Disruptor
F. Chiesa,juventus,Serie A,Attacker,2206.0,0.3071513916180631,0.298566113130346,-0.011833411492166,-0.6219800253520703,-0.5377450460562995,-1.0980355267358597,-0.0902189257757826,-1.1382293173599227,0.2312346965257737,0.4299144146338865,-0.57553316371614,1.5656885118033017,-0.2182120168227798,-0.3323334398861337,-0.3973898765050618,0.1792889512120178,1,Pure Finisher
G. Isaksen,lazio,Serie A,Attacker,1070.0,-0.7471130405617631,-0.5031338006848443,0.3482431685052961,-0.9083455045252437,-0.2991811975957979,-0.7436596151053235,0.0475345064844708,-0.1460110993003404,-0.3593791113695788,-0.3873642148208046,-0.551714654960375,0.511859268236521,-0.0579709559962525,-0.857320503609049,-0.6691293011169385,-0.6261930281302115,0,Off-Ball Disruptor
K. Gameiro,strasbourg,Ligue 1,Attacker,1345.0,0.8701576750066914,-0.6119098836807763,1.306035907012448,0.5666207777300114,1.7477316205556337,-0.6260792239547313,-0.0992671888782078,0.2537128907407731,-0.2805842425787693,-0.6007826597215439,-0.0811481786666077,0.5254767258714222,0.7705882281952182,1.366154119217413,1.2229822480324275,-1.4145370930183532,0,Off-Ball Disruptor
S. Benrahma,lyon,Ligue 1,Attacker,778.0,2.438778020164623,0.1498438858537816,0.0370535426330368,-2.1908203469815186,0.7002247084898496,-0.6267885615910823,-0.451471564972484,0.1099480634024359,0.1276766060991157,0.4325788127150358,1.936914092539204,2.3628057210916955,1.0502001495089297,-0.5948269717475914,0.6795033988086743,-0.6433309425843018,2,Creative Technician
W. Ben Yedder,monaco,Ligue 1,Attacker,2323.0,-0.4497272570494803,1.4757868026445875,1.6983614670540654,-0.508385853924484,0.452453422199207,-0.8567544871523344,0.6815427799771461,0.1355730858858737,1.5308469845715618,0.3180449452619064,-0.6144306070839662,0.2925465665081949,0.5467087487600475,0.2698576037960314,-0.7597091093208973,-1.757295382100152,1,Pure Finisher
W. Khazri,montpellier,Ligue 1,Attacker,1132.0,-1.224286954756783,0.2019861214331216,0.0937833764842867,0.8567439312355618,-1.3141107921042026,-0.6401386109943872,-1.543102103400939,0.2895493920961443,-1.2482064827043475,1.4841888046700726,-1.3478302657969994,-0.7486082179363477,-0.1336738681513075,-0.1007215000083773,-0.8402244943910835,0.110737293395658,3,Disruptive Presser
