name,position,minutes,duels_total_api,duels_won_api,goals_total_api,shots_total_api,shots_on_target_api,assists_total_api,dribbles_attempts_api,dribbles_success_api,touches_total_api,passes_key_api,passes_total_api,passes_accuracy_perc,shots_on_target_perc,dribbles_success_perc,name_clean,team_clean,duels_total_p90,duels_won_p90,goals_p90,shots_total_p90,shots_on_target_p90,assists_p90,dribbles_attempts_p90,dribbles_success_p90,touches_total_p90,passes_key_p90,passes_total_p90,team_AS Roma,team_Atalanta,team_Bologna,team_Cagliari,team_Empoli,team_Fiorentina,team_Genoa,team_Inter,team_Juventus,team_Lazio,team_Lecce,team_Monza,team_Napoli,team_Salernitana,team_Sassuolo,team_Torino,team_Udinese,team_Verona,league,team_Le Havre,team_Lens,team_Lille,team_Lorient,team_Lyon,team_Marseille,team_Metz,team_Monaco,team_Montpellier,team_Nantes,team_Nice,team_Paris Saint Germain,team_Reims,team_Rennes,team_Stade Brestois 29,team_Strasbourg,team_Toulouse,team_Almeria,team_Athletic Club,team_Atletico Madrid,team_Barcelona,team_Cadiz,team_Celta Vigo,team_Getafe,team_Girona,team_Las Palmas,team_Mallorca,team_Osasuna,team_Rayo Vallecano,team_Real Madrid,team_Real Sociedad,team_Valencia,team_Villarreal
A. Belotti,Attacker,952.0,150.0,70.0,3.0,18.0,0,0.0,4.0,1.0,0,5.0,197.0,66.2,0.0,25.0,andrea belotti,fiorentina,14.180672268907562,6.61764705882353,0.2836134453781512,1.7016806722689075,0.0,0.0,0.3781512605042016,0.0945378151260504,0.0,0.4726890756302521,18.623949579831933,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Cerri,Attacker,554.0,117.0,54.0,1.0,6.0,0,0.0,6.0,1.0,0,4.0,134.0,50.0,0.0,16.666666666666664,alberto cerri,empoli,19.0072202166065,8.772563176895307,0.1624548736462094,0.9747292418772564,0.0,0.0,0.9747292418772564,0.1624548736462094,0.0,0.6498194945848376,21.76895306859205,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Pellegri,Attacker,745.0,135.0,55.0,1.0,10.0,0,1.0,12.0,5.0,0,4.0,131.0,62.3,0.0,41.66666666666667,pietro pellegri,torino,16.308724832214764,6.644295302013424,0.1208053691275167,1.2080536912751678,0.0,0.1208053691275167,1.4496644295302017,0.6040268456375839,0.0,0.4832214765100671,15.8255033557047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Sanabria,Attacker,2134.0,268.0,127.0,5.0,45.0,0,0.0,31.0,14.0,0,15.0,616.0,79.2,0.0,45.16129032258064,antonio sanabria,torino,11.302717900656043,5.35613870665417,0.2108716026241799,1.8978444236176195,0.0,0.0,1.3074039362699157,0.5904404873477038,0.0,0.6326148078725399,25.97938144329897,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Almqvist,Attacker,2114.0,291.0,131.0,2.0,24.0,0,1.0,80.0,37.0,0,27.0,454.0,73.4,0.0,46.25,pontus almqvist,lecce,12.38883632923368,5.577105014191107,0.0851466414380321,1.021759697256386,0.0,0.042573320719016,3.4058656575212867,1.575212866603595,0.0,1.1494796594134342,19.328287606433303,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zito Luvumbo,Attacker,1944.0,263.0,110.0,4.0,32.0,0,5.0,70.0,30.0,0,26.0,291.0,63.4,0.0,42.85714285714285,zito luvumbo,cagliari,12.175925925925927,5.092592592592593,0.1851851851851852,1.4814814814814816,0.0,0.2314814814814814,3.240740740740741,1.3888888888888888,0.0,1.2037037037037035,13.47222222222222,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro,Attacker,795.0,112.0,51.0,1.0,9.0,0,1.0,28.0,14.0,0,17.0,410.0,82.8,0.0,50.0,pedro,lazio,12.679245283018869,5.773584905660377,0.1132075471698113,1.018867924528302,0.0,0.1132075471698113,3.1698113207547167,1.5849056603773584,0.0,1.924528301886792,46.41509433962264,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Noslin,Attacker,1347.0,219.0,85.0,5.0,30.0,0,4.0,24.0,8.0,0,27.0,322.0,69.5,0.0,33.33333333333333,tijjani noslin,verona,14.632516703786193,5.679287305122494,0.3340757238307349,2.0044543429844097,0.0,0.2672605790645879,1.6035634743875278,0.5345211581291759,0.0,1.804008908685969,21.514476614699333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Retegui,Attacker,2226.0,278.0,115.0,7.0,51.0,0,2.0,32.0,14.0,0,11.0,386.0,64.3,0.0,43.75,mateo retegui,genoa,11.23989218328841,4.649595687331536,0.2830188679245283,2.061994609164421,0.0,0.0808625336927223,1.293800539083558,0.5660377358490566,0.0,0.4447439353099731,15.606469002695418,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Lookman,Attacker,1900.0,245.0,109.0,11.0,49.0,0,7.0,75.0,39.0,0,50.0,749.0,75.8,0.0,52.0,ademola lookman,atalanta,11.605263157894738,5.163157894736842,0.5210526315789474,2.321052631578948,0.0,0.331578947368421,3.552631578947368,1.8473684210526315,0.0,2.3684210526315788,35.47894736842105,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
