name,team_clean,league,position,minutes,goals_p90,shots_total_p90,assists_p90,passes_key_p90,passes_total_p90,passes_accuracy_perc,dribbles_success_perc,duels_win_perc
D. Ndoye,bologna,Serie A,Attacker,1776.0,-1.3964700322963475,-0.7767104642150752,-0.8681885407997091,-0.32999281831883065,0.4163674601222817,0.8566078514863471,-0.1961014138295966,0.8819434438297081
J. Zirkzee,bologna,Serie A,Attacker,2772.0,0.179614036288709,0.04031059449783672,-0.11861857229744906,0.15992717791871883,0.6354138133721152,0.825726259502648,-0.4275831459063812,-0.6261930281302115
C. Ikwuemesi,salernitana,Serie A,Attacker,1056.0,-1.2187798098180749,-0.9288569505920367,-0.5411600919379194,-1.0843626097173664,-1.5162196191862587,-0.9499652795601506,0.38763512792925015,-1.6373299809215214
S. Nwankwo,salernitana,Serie A,Attacker,681.0,0.3818933749325992,-0.6319023433281136,-1.3478302657969994,-1.1209886807591174,-1.0454106935415102,-1.4903931392749166,0.38763512792925015,-0.6261930281302115
G. Lapadula,cagliari,Serie A,Attacker,1205.0,-0.5047649523453563,0.32136661569596586,-0.6409060304482952,0.1999641145031615,-1.7707143868870312,-0.28601105191058285,1.1022091704271486,-0.9346754883038323
F. Chiesa,juventus,Serie A,Attacker,2206.0,0.2312346965257737,0.4299144146338865,-0.57553316371614,1.5656885118033017,-0.2182120168227798,-0.3323334398861337,-0.3973898765050618,0.17928895121201785
G. Isaksen,lazio,Serie A,Attacker,1070.0,-0.3593791113695788,-0.38736421482080463,-0.551714654960375,0.511859268236521,-0.05797095599625254,-0.857320503609049,-0.6691293011169385,-0.6261930281302115
K. Gameiro,strasbourg,Ligue 1,Attacker,1345.0,-0.2805842425787693,-0.6007826597215439,-0.08114817866660773,0.5254767258714222,0.7705882281952182,1.366154119217413,1.2229822480324275,-1.4145370930183532
S. Benrahma,lyon,Ligue 1,Attacker,778.0,0.1276766060991157,0.4325788127150358,1.9369140925392037,2.3628057210916955,1.0502001495089295,-0.5948269717475914,0.6795033988086743,-0.6433309425843018
W. Ben Yedder,monaco,Ligue 1,Attacker,2323.0,1.5308469845715618,0.3180449452619064,-0.6144306070839662,0.29254656650819494,0.5467087487600475,0.26985760379603146,-0.7597091093208973,-1.757295382100152
W. Khazri,montpellier,Ligue 1,Attacker,1132.0,-1.2482064827043475,1.4841888046700726,-1.3478302657969994,-0.7486082179363477,-0.1336738681513075,-0.10072150000837735,-0.8402244943910835,0.11073729339565808
J. Ito,reims,Ligue 1,Attacker,2722.0,-1.1469638888938418,-1.3580711920735975,0.8428037992898191,2.335709704512217,0.7065097989791359,-1.0117284635275532,0.7902120532801792,0.45349558247745814
Keito Nakamura,reims,Ligue 1,Attacker,1389.0,-0.32418821457649283,0.19814937855180967,-0.7345518614808089,-0.6918726148543447,-0.09601594684949652,0.14633123586122854,1.3336909025039332,-0.3691243113188627
O. Diakité,reims,Ligue 1,Attacker,1589.0,-0.20067112036180443,-0.21622039691033684,-0.8117423466055653,-0.7921015122209452,-1.0747245830394274,0.9801342194211523,-0.37726103023751506,-1.157468376207002
A. Lacazette,lyon,Ligue 1,Attacker,2306.0,2.1564919426670044,0.6737005997921277,-0.6090239313692556,-0.8443440837020956,-0.4977785622877279,-0.1933662759594812,1.0317582084907357,-0.574779284767942
M. Simon,nantes,Ligue 1,Attacker,1794.0,-0.8830898978764024,-0.7999610463884521,1.0263160652932704,0.2622623520006771,-0.7912069540113058,-1.4595115472912152,0.9210495540192315,0.35066809575291785
G. Kyei,clermont foot,Ligue 1,Attacker,1017.0,-0.7468611363531653,0.3532082190470311,-0.5102258374831464,-0.4221762102634082,-0.24140514884361206,0.40882476772268617,-1.3937677667486101,-1.2774337773856324
Mousa Tamari,montpellier,Ligue 1,Attacker,1943.0,-0.4660183042709897,-0.34828610101590923,-0.4709968086738001,-0.6582953842078598,-0.16775643540439208,0.10000884788567771,-0.4275831459063812,0.8133917860133484
A. Kalimuendo,rennes,Ligue 1,Attacker,2152.0,0.49369594768194336,-0.18996539264524534,-0.9519921135687524,-0.23219861693449134,-0.6201933587993774,1.3352725272337116,-0.5684850697792062,-1.5687783231051617
M. Guilavogui,lens,Ligue 1,Attacker,554.0,0.013847213645521349,2.4087747326481863,-1.3478302657969994,1.6898686578591844,1.4180335285906347,0.4242655637145357,0.38763512792925015,0.7962538715592582
M. Satriano,brest,Ligue 1,Attacker,1870.0,-0.6670342484129925,0.818555772131957,0.4742953033905702,-0.511456990918078,-0.5068402968122289,-0.11616229600022909,0.05550916451473404,1.1732879895492387
F. Magri,toulouse,Ligue 1,Attacker,1433.0,-0.04212251382669103,0.0970639730346725,-0.15893465715053912,-0.7403930132177001,-0.7321018787821953,-0.40953741984538583,-0.6791937242507118,-0.6776067714924823
A. Gouiri,rennes,Ligue 1,Attacker,2075.0,-0.09566913422199369,1.0196840874862716,-0.11624900758708817,-0.6853994197583441,1.1025300441596448,1.5051212831440652,0.739889937611313,0.02504772112520807
R. Kolo Muani,paris sg,Ligue 1,Attacker,1264.0,0.5399785188297358,-1.0439668044526975,2.0218046376649816,0.952821849844475,0.018430076826835177,0.007364071934573858,-0.498034107842794,-0.5233655414056713
Gonçalo Ramos,paris sg,Ligue 1,Attacker,1419.0,1.930882691878184,0.7730607226014119,-0.7475175782739635,-0.5043078567073099,0.020250320654630873,0.7021998915678429,-0.40745429963883445,1.3446671340901388
T. Moffi,nice,Ligue 1,Attacker,1960.0,0.9405311141702682,0.2500514127665273,-0.47860199682231735,-0.5123124995574001,-1.0715552566748798,-0.1933662759594812,1.3336909025039332,-1.6030541520133421
E. Guessand,nice,Ligue 1,Attacker,1542.0,0.1438806433920839,0.6622980776948474,-1.3478302657969994,-0.7469915017502425,-1.1659014597126447,0.31617999177158235,-0.6188071854480723,0.12787520784974832
