name,team_clean,league,position,Cluster,Role_Label,minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Sandro Ramírez,las palmas,La Liga,Attacker,0,Off-Ball Disruptor,0.4964650432050276,0.4882460093445384,0.2310772211883339,0.5259749190375318,0.6956468060620932,0.4079725134851282,0.5877823093089124,0.3834721124659294,0.5037623719008547
Álex Berenguer,athletic club,La Liga,Attacker,0,Off-Ball Disruptor,0.4025923016496465,0.3261835190576583,0.3233611768749855,0.6067116469662875,0.22302733983199,0.5659760545970505,0.4601583387336058,0.8341725807655499,0.4818403597894395
Diego López,valencia,La Liga,Attacker,0,Off-Ball Disruptor,0.8315003927729774,0.3145503985263491,0.1534707738463427,0.497495991969297,0.388545764248266,0.5015454909754935,0.7338317353551385,0.6499106384908997,0.6150003519689121
Raúl de Tomás,rayo vallecano,La Liga,Attacker,0,Off-Ball Disruptor,0.283974862529458,0.2807493929913617,0.2958330014182267,0.465471615075833,0.8117813315332874,0.6558378740879448,0.8120692449208502,0.2766091538815843,0.6262356065738346
Luis Rioja,alaves,La Liga,Attacker,0,Off-Ball Disruptor,0.7702278083267872,0.416297835962647,0.1798626437409843,0.2442433095836562,0.5803875453025314,0.6743113608630326,0.4473847948144583,0.7046622487725958,0.6112105849039096
Juanmi,cadiz,La Liga,Attacker,0,Off-Ball Disruptor,0.1249018067556952,0.2653589336248533,0.3333743890525828,0.8746300072256316,0.6368958857904264,0.7824291601885756,0.6534911314004322,0.6176239812355887,0.4384245152420992
Ilias Akhomach,villarreal,La Liga,Attacker,0,Off-Ball Disruptor,0.3762765121759623,0.422854593109573,0.1547543080294186,0.5516521851133811,0.7866142302727385,0.5379452510368652,0.7154417765662989,0.6726151015307891,0.40695758931513
Rubén Sobrino,cadiz,La Liga,Attacker,0,Off-Ball Disruptor,0.4296936370777691,0.321003948428616,0.0561144498360003,0.6271257377885829,0.7146044610092159,0.4217520331976558,0.6404751536062057,0.7031860220450694,0.4457034971012247
T. Dallinga,toulouse,Ligue 1,Attacker,1,Pure Finisher,0.7710133542812255,0.3692810729731192,0.4810008253126845,0.1025433265280364,0.8760151846355565,0.4346979507638049,0.5898127291032411,0.7973950437057312,0.6447383331734128
M. Bamba,lorient,Ligue 1,Attacker,1,Pure Finisher,0.2336999214454045,0.3401498726327159,0.6222854100949735,0.5500115407020705,0.4920837435369738,0.6009420976263888,0.8268052624107114,0.6348457183879683,0.4512396276454989
J. David,lille,Ligue 1,Attacker,1,Pure Finisher,0.8193244304791831,0.3889012646409861,0.6041851617300317,0.6626984893320715,0.7809211999096293,0.6426746543343873,0.7496329759405699,0.7111655018909304,0.2667577056956015
Joselu,real madrid,La Liga,Attacker,1,Pure Finisher,0.4399057344854674,0.327410889893531,0.5790744385442037,0.2946449971105573,0.8263617267243801,0.4022625808762008,0.7666854068426023,0.6414654990890312,0.4167659069724634
E. Wahi,lens,Ligue 1,Attacker,1,Pure Finisher,0.4501178318931658,0.2321354962641273,0.607166192416583,0.5269513459599496,0.5849269062449971,0.7512145722360075,0.6650547364497754,0.363570525508561,0.5262219609954571
Vítinha,marseille,Ligue 1,Attacker,1,Pure Finisher,0.1441476826394344,0.4434491434723077,0.461090707116905,0.4137635088987851,0.5820473901070028,0.5944936223540679,0.5856115669654611,0.2806762064242793,0.173995144524521
Gonçalo Ramos,paris sg,Ligue 1,Attacker,1,Pure Finisher,0.3397486252945797,0.4053927141837466,0.5990514690160328,0.4681279981203704,0.8624490030993943,0.3440328328663583,0.6734198887599501,0.9151207648686626,0.2645885643340466
A. Gouiri,rennes,Ligue 1,Attacker,1,Pure Finisher,0.5974076983503536,0.4979493621290066,0.4464045452206428,0.6095121310044344,0.9266710536916224,0.5594209268184019,0.617615778982418,0.4364417610939959,0.8852426806149923
T. Moffi,nice,Ligue 1,Attacker,1,Pure Finisher,0.5522388059701493,0.2656297129385039,0.4907281283691161,0.444992199593983,0.6557966746246944,0.9000768868563791,0.4456824907684815,0.649846172264459,0.5671620884237996
R. Orsolini,bologna,Serie A,Attacker,1,Pure Finisher,0.48586017282011,0.4976231354709796,0.5331517389537281,0.4084138601131027,0.5808366065830042,0.2631599522752946,0.3213614027392395,0.6679575478781321,0.5262127052731526
D. Berardi,sassuolo,Serie A,Attacker,1,Pure Finisher,0.3468185388845247,0.4727366148530051,0.5429263532597537,0.5481433263000239,0.3584133380612483,0.4671031367901811,0.3386566644213108,0.7404300127775761,1.0
F. Chiesa,juventus,Serie A,Attacker,1,Pure Finisher,0.6488609583660645,0.4241500632537303,0.4088810860006034,0.503044603430066,0.5171611118527971,0.424232898823702,0.3277056572863211,0.5838822695448458,0.0
W. Ben Yedder,monaco,Ligue 1,Attacker,1,Pure Finisher,0.694815396700707,0.3367985988994589,0.5557048827063884,0.7917675814317957,0.5376600396395071,0.6045341126136239,0.3911533695960442,0.7950600092656461,0.5591469191883168
V. Osimhen,napoli,Serie A,Attacker,1,Pure Finisher,0.5636292223095052,0.2456043165080332,0.6966908463749717,0.2515592253742258,0.6387248591472721,0.5759976879137692,0.544235736113545,0.6036560317386749,0.2358300691348337
T. Noslin,verona,Serie A,Attacker,1,Pure Finisher,0.3114689709347997,0.3859020313749033,0.4315265141480672,0.6077107354247558,0.2967724573844389,0.4965744613517885,0.7502436061587672,0.4469547267216043,0.2742111943280417
A. Lacazette,lyon,Ligue 1,Attacker,1,Pure Finisher,0.6881382560879812,0.3145096813105497,0.6197549451905002,0.3994506210058322,0.7375880955729435,0.7305825715175646,0.4910226231290515,0.8961683815830161,0.641445340496134
A. Milik,juventus,Serie A,Attacker,1,Pure Finisher,0.1358994501178319,0.5015381848659306,0.5170633253169215,0.504819897682238,0.8532277223781366,0.4646728602129754,0.5146173742066649,0.4408326039863632,0.3079763840963023
N. Okafor,milan,Serie A,Attacker,1,Pure Finisher,0.1241162608012568,0.233249337299481,0.5842135310921246,0.3660417562671532,0.3887759432786349,0.665267400828734,0.6946242304205262,0.731959440313745,0.7332038160411698
G. Scamacca,atalanta,Serie A,Attacker,1,Pure Finisher,0.3546739984289081,0.6130079239542391,0.7480358773777642,0.3569546506137032,0.3045114003142637,0.7597195351601664,0.5280415674142058,0.4910595328798262,0.6907493080553029
Lautaro Martínez,inter,Serie A,Attacker,1,Pure Finisher,0.8303220738413197,0.3800623174257132,0.720669965189265,0.6157956796219198,0.7263226546078686,0.3482068662363501,0.7055029523363747,0.8601110306410356,0.2532426893966757
O. Giroud,milan,Serie A,Attacker,1,Pure Finisher,0.7148468185388845,0.3853800343952546,0.6183831942814522,0.3983128300724612,0.4143299457824594,0.3738306908609791,0.9924510181378368,0.5534475468444776,0.3121320568557738
Vinícius Júnior,real madrid,La Liga,Attacker,1,Pure Finisher,0.5188531029065201,0.5263254263991622,0.715328605061073,0.5258145490243774,0.5213509964371702,0.4091068095817164,0.642120094146487,0.6519484638622618,0.6078507692187882
Gorka Guruzeta,athletic club,La Liga,Attacker,1,Pure Finisher,0.6622152395915162,0.4257876060753627,0.4702545046365414,0.3263288783546436,0.606794023001952,0.7207904336428075,0.6249833763891601,0.8371430805784433,0.7620121912199278
Ferran Torres,barcelona,La Liga,Attacker,1,Pure Finisher,0.2545168892380204,0.5358472958612938,0.4598697442472411,0.6949928068498924,0.6174324034122262,0.5561307820481797,0.4883882053794076,0.7678489858038084,0.3323944885735964
F. Balogun,monaco,Ligue 1,Attacker,1,Pure Finisher,0.4485467399842892,0.2754631072661594,0.5355678098680208,0.7469015701410788,0.2976290237096834,0.5899244313523578,0.8268111854285705,0.2989325850978942,0.3973077041234627
Kylian Mbappé,paris sg,Ligue 1,Attacker,1,Pure Finisher,0.6304006284367636,0.7685745167401187,1.0,0.6120675215474768,0.7262190524298731,0.4958229376502204,0.6343875382559407,0.7995637634397441,0.7320254128821051
Álvaro Morata,atletico madrid,La Liga,Attacker,1,Pure Finisher,0.5322073841319718,0.3548048305704714,0.6840484296096159,0.1953936348288073,0.7682822534839474,0.4842112398981296,0.726321839163304,0.7229714129079916,0.4630961048029092
Borja Mayoral,getafe,La Liga,Attacker,1,Pure Finisher,0.6323644933228595,0.2618444005119003,0.4709298107913311,0.6290859680737253,0.7546445686223717,0.6566886742819101,0.6179655936266963,1.0,0.4218966830765606
Marc Cardona,las palmas,La Liga,Attacker,1,Pure Finisher,0.0667714061272584,0.3853081002974472,0.5571152002688617,0.5864279998621102,0.7119023279006792,0.469509171053373,0.6160582661514394,0.5935075816583526,0.6880549149454327
Pedro,lazio,Serie A,Attacker,2,Creative Technician,0.0946582875098193,0.6749983214456481,0.1182387519505178,0.8368585424392738,0.812209313963949,0.437148537639345,0.4279938693858769,0.7616835856090484,0.8017915630921431
Ângelo,strasbourg,Ligue 1,Attacker,2,Creative Technician,0.2101335428122545,0.6070394262422717,0.0,0.4435689309618149,0.4889875180760891,0.5769027983211314,0.6000908894245409,0.6954596378873509,0.4178057805631356
A. Nordin,montpellier,Ligue 1,Attacker,2,Creative Technician,0.2745483110761979,0.662712148383019,0.3127561664023761,0.1520300678548722,0.9326731488618928,0.5775556250606723,0.7707165333898618,0.7440634651741728,0.2493108878181502
Gerard Moreno,villarreal,La Liga,Attacker,2,Creative Technician,0.6586802827965437,0.738792693716659,0.3522166553803307,0.5695421012392261,0.6388745425746568,0.5269933550716238,0.5156101944533626,0.7486477783468599,0.566389960462953
Raphinha,barcelona,La Liga,Attacker,2,Creative Technician,0.3205027494108405,1.0,0.5351952001137323,0.3503831903117274,0.3392810818793504,0.4493512871784408,0.9179375008510138,0.2515604254279293,0.6651296636907357
Lamine Yamal,barcelona,La Liga,Attacker,2,Creative Technician,0.6449332285938728,0.7353304956204365,0.2566331307809476,0.4934449748415354,0.8831019066125099,0.2973405973186095,0.6797147787409578,0.6678024554731014,0.8148030185710002
Rodrygo,real madrid,La Liga,Attacker,2,Creative Technician,0.7211311861743913,0.6725259699195096,0.4832313602708106,0.7338845524703639,0.8747711933683715,0.4406498117688638,0.6580591559934215,0.4499792051865884,0.445393469200214
Nico Williams,athletic club,La Liga,Attacker,2,Creative Technician,0.6791044776119404,0.5909653316225361,0.2659806758261281,0.4246932731905051,0.3101591096493218,0.5826266229543794,0.9962191709978347,0.4874181851898991,0.5275430815055402
M. Daramy,reims,Ligue 1,Attacker,2,Creative Technician,0.4328358208955224,0.5791926611430067,0.2215385934192154,0.3292097188387809,0.7628148404237383,0.5562205290125493,0.9346545702060636,0.6879781938730494,0.5277298568264613
Sávio,girona,La Liga,Attacker,2,Creative Technician,0.95758051846033,0.6167246589678793,0.2057967989007024,0.3997489795978204,0.6556395987972863,0.5217917392288879,0.9634432319242816,0.8028140698417332,0.3266586071316779
Gonçalo Guedes,villarreal,La Liga,Attacker,2,Creative Technician,0.1547525530243519,0.6046616126292398,0.2829004872932129,0.397832593962271,0.7515379009108994,0.6413835302491864,0.567630875025009,0.6530147906397294,0.3930777504383529
Iago Aspas,celta vigo,La Liga,Attacker,2,Creative Technician,0.8487824037706206,0.8883725661207843,0.3033342502413472,0.3528583791823908,0.4784098989881334,0.6567432099085166,0.3287583443819488,0.5532944243531808,0.4965727739488382
Rafael Leão,milan,Serie A,Attacker,2,Creative Technician,0.7725844461901021,0.7191106077337643,0.3006473215218528,0.3523607951530504,0.568538272151101,0.4729008199077342,0.753577253606196,0.6871355115676393,0.4023289310956285
R. Sottil,fiorentina,Serie A,Attacker,2,Creative Technician,0.2172034564021995,0.5930070037169356,0.2912958784014713,0.372925259152097,0.8710181215669468,0.3689071398387493,0.937770102230116,0.492146296106934,0.6487926563105302
A. Lookman,atalanta,Serie A,Attacker,2,Creative Technician,0.5286724273369993,0.739893537225665,0.5020289931178361,0.562926574712975,0.4613628444104334,0.5673156775436446,0.587136224125451,0.6175786755487382,0.523689090454907
M. Thuram,inter,Serie A,Attacker,2,Creative Technician,0.8456402199528674,0.5701088734387505,0.3932318649553382,0.0,0.9079678295266872,0.6856462332141733,0.801752973533081,0.7287612537572635,0.5543905555347323
K. Kvaratskhelia,napoli,Serie A,Attacker,2,Creative Technician,0.8633150039277298,0.665073925869889,0.4515908240407326,0.5036165674955102,0.8247568831886353,0.379848108454414,0.5275387562043754,0.4956929429479606,0.3753057635765961
M. Politano,napoli,Serie A,Attacker,2,Creative Technician,0.7191673212882954,0.6935759877321823,0.313432493799043,0.7165714129847616,0.5467817696975591,0.3917998618644098,0.385449845854689,0.657955967116755,0.4474590720784571
A. Saelemaekers,bologna,Serie A,Attacker,2,Creative Technician,0.5251374705420268,0.64931070521392,0.1520554751175382,0.6875393682027222,0.7594760676011924,0.1669785911824127,0.4971067734916476,0.8856176446756165,0.4572339464259917
S. Chukwueze,milan,Serie A,Attacker,2,Creative Technician,0.1810683424980361,0.5651501692786207,0.2378860174784876,0.7614048311793264,0.538791335440095,0.4224240605982249,0.7783556908174353,0.4172698757256435,0.6148085440053941
G. Raspadori,napoli,Serie A,Attacker,2,Creative Technician,0.3998428908091124,0.5871012832608788,0.3909437400012192,0.5677726317800866,0.6222596189027638,0.4553978973143679,0.4081166966014379,0.4892058010791984,0.6998339566033949
J. Ito,reims,Ligue 1,Attacker,2,Creative Technician,0.8515318146111548,0.593851007812932,0.1032266432636513,0.4084627559586412,0.3373659695292711,0.542987969489604,0.3987218393408379,0.6564606829805083,0.2976911597076843
S. Benrahma,lyon,Ligue 1,Attacker,2,Creative Technician,0.0879811468970934,0.6701613727125185,0.3903323446662186,0.5112979242401837,0.2340520046002118,0.6496497789094899,0.4516256384126684,0.4850324364356657,0.5478985871556281
